sessionId,label,timestamp,accX,accY,accZ,rotX,rotY,rotZ
session_20260414_134405_001,jab,17548.9796,0.026605,0.148144,0.049884,-0.502064,-0.175698,0.177249
session_20260414_134405_001,jab,17548.9995,0.002836,0.144918,0.050493,-0.736621,-0.222726,0.296071
session_20260414_134405_001,jab,17549.0194,0.005512,0.095755,0.032134,-1.041401,-0.221807,0.400597
session_20260414_134405_001,jab,17549.0393,0.033360,0.105201,0.027788,-1.244424,-0.055007,0.588712
session_20260414_134405_001,jab,17549.0592,-0.079185,0.152186,0.008110,-1.324215,-0.105959,0.594089
session_20260414_134405_001,jab,17549.0791,-0.077039,0.114614,0.044475,-1.451418,-0.363789,0.763666
session_20260414_134405_001,jab,17549.0990,-0.088092,0.076251,0.053957,-1.607738,-0.473830,0.856821
session_20260414_134405_001,jab,17549.1189,-0.129400,0.056185,0.024533,-1.591372,-0.588228,0.929742
session_20260414_134405_001,jab,17549.1388,-0.142612,0.008635,0.001308,-1.476886,-0.616928,0.932613
session_20260414_134405_001,jab,17549.1587,-0.122544,-0.011685,-0.039458,-1.247722,-0.613441,0.916881
session_20260414_134405_001,jab,17549.1786,-0.077355,-0.079639,-0.077803,-0.919190,-0.575758,0.819318
session_20260414_134405_001,jab,17549.1985,-0.049329,-0.045022,-0.079742,-0.697719,-0.545888,0.784684
session_20260414_134405_001,jab,17549.2184,-0.059759,-0.025355,-0.054221,-0.607012,-0.521106,0.768133
session_20260414_134405_001,jab,17549.2382,-0.050887,-0.009501,-0.026893,-0.540449,-0.495199,0.771945
session_20260414_134405_001,jab,17549.2581,0.005005,0.001407,0.014950,-0.608155,-0.505783,0.758741
session_20260414_134405_001,jab,17549.2780,0.011883,-0.024822,0.017790,-0.632042,-0.501364,0.733932
session_20260414_134405_001,jab,17549.2979,0.025655,-0.016905,0.006019,-0.581053,-0.475160,0.723886
session_20260414_134405_001,jab,17549.3178,0.011961,-0.022335,0.019015,-0.580183,-0.467425,0.710771
session_20260414_134405_001,jab,17549.3377,-0.029274,0.039344,0.031577,-0.587464,-0.503574,0.764560
session_20260414_134405_001,jab,17549.3576,-0.050180,0.018147,0.073234,-0.656561,-0.562681,0.773046
session_20260414_134405_001,jab,17549.3775,-0.028832,-0.051392,0.044725,-0.599761,-0.603420,0.709230
session_20260414_134405_001,jab,17549.3974,-0.005342,-0.076804,-0.015710,-0.323936,-0.614043,0.614755
session_20260414_134405_001,jab,17549.4173,0.041672,-0.063671,0.007255,-0.247254,-0.652008,0.590271
session_20260414_134405_001,jab,17549.4372,-0.017748,-0.014053,0.045635,-0.277385,-0.642195,0.578149
session_20260414_134405_001,jab,17549.4571,-0.012772,-0.008442,0.037414,-0.325565,-0.661898,0.608444
session_20260414_134405_001,jab,17549.4769,0.038693,-0.020364,0.062268,-0.355694,-0.698585,0.587417
session_20260414_134405_001,jab,17549.4968,0.012857,-0.007212,0.020979,-0.291084,-0.713893,0.565353
session_20260414_134405_001,jab,17549.5167,-0.029347,0.015501,-0.043218,-0.022175,-0.696872,0.543093
session_20260414_134405_001,jab,17549.5366,-0.028423,-0.003068,-0.091513,0.280526,-0.641844,0.490125
session_20260414_134405_001,jab,17549.5565,-0.043288,-0.082698,-0.156067,0.529415,-0.520720,0.377914
session_20260414_134405_001,jab,17549.5764,-0.044581,-0.113571,-0.211970,0.941287,-0.348112,0.220091
session_20260414_134405_001,jab,17549.5963,-0.036667,-0.149083,-0.265787,1.352820,-0.150442,0.046924
session_20260414_134405_001,jab,17549.6162,-0.048749,-0.128461,-0.226188,1.532761,0.016240,-0.100521
session_20260414_134405_001,jab,17549.6361,-0.093767,-0.115076,-0.224893,1.597038,0.193377,-0.257677
session_20260414_134405_001,jab,17549.6560,-0.110683,-0.135293,-0.213043,1.623130,0.306781,-0.417275
session_20260414_134405_001,jab,17549.6759,-0.112637,-0.142994,-0.149578,1.530725,0.367305,-0.539000
session_20260414_134405_001,jab,17549.6958,-0.156278,-0.125736,-0.182949,1.555477,0.484446,-0.686393
session_20260414_134405_001,jab,17549.7157,-0.161995,-0.123252,-0.161406,1.685511,0.569242,-0.818980
session_20260414_134405_001,jab,17549.7355,-0.139045,-0.198215,-0.123168,1.774357,0.617718,-1.009527
session_20260414_134405_001,jab,17549.7554,-0.125284,-0.192102,-0.072000,1.837328,0.606734,-1.170595
session_20260414_134405_001,jab,17549.7753,-0.112813,-0.117758,0.000726,1.887340,0.493717,-1.290238
session_20260414_134405_001,jab,17549.7952,-0.103945,-0.132456,0.013596,1.938757,0.395637,-1.457796
session_20260414_134405_001,jab,17549.8151,-0.026890,-0.220545,0.120167,1.836392,0.229655,-1.652986
session_20260414_134405_001,jab,17549.8350,-0.006908,-0.122556,0.139061,1.591105,0.074461,-1.713602
session_20260414_134405_001,jab,17549.8549,-0.021913,0.016984,0.173912,1.328269,-0.062098,-1.672698
session_20260414_134405_001,jab,17549.8748,-0.010543,0.015721,0.217305,1.036374,-0.140087,-1.598739
session_20260414_134405_001,jab,17549.8947,0.044498,0.059694,0.229143,0.801899,-0.191299,-1.518054
session_20260414_134405_001,jab,17549.9146,0.090699,0.170236,0.153769,0.753091,-0.202350,-1.404596
session_20260414_134405_001,jab,17549.9345,0.116308,0.129399,0.114737,0.567176,-0.193125,-1.317639
session_20260414_134405_001,jab,17549.9544,0.160593,0.087862,0.148677,0.212309,-0.222673,-1.220415
session_20260414_134405_001,jab,17549.9743,0.181680,0.085017,0.160750,-0.156754,-0.288684,-1.085158
session_20260414_134405_001,jab,17549.9941,0.090630,0.119986,0.087309,-0.110812,-0.251163,-1.042330
session_20260414_134405_001,jab,17550.0140,0.041791,0.255585,-0.084060,0.207067,-0.102910,-0.855362
session_20260414_134405_001,jab,17550.0339,0.057751,0.194164,-0.060928,0.331543,-0.043401,-0.749666
session_20260414_134405_001,jab,17550.0538,0.148837,0.063554,0.119506,0.313325,-0.140383,-0.786235
session_20260414_134405_001,jab,17550.0737,0.113615,0.159437,0.046760,0.575823,-0.206429,-0.743733
session_20260414_134405_001,jab,17550.0936,0.011341,0.192127,-0.135823,0.968977,-0.145652,-0.716979
